"Date","steem_price","sbd_price","amount","from","memo","to","timestamp","currency_amount","currency_type","direction","dollar_price_of_tr","tr_type"
"2017-12-30",3.18,9.01,"2.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171225t152151508z","boomerang","2017-12-30T07:42:00",2,"SBD","out",18.02,"normal_tr"
"2017-12-31",2.69,7.07,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171226t123127871z","pushup","2017-12-31T08:28:12",1,"SBD","out",7.07,"normal_tr"
"2017-12-31",2.69,7.07,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171226t123127871z","boomerang","2017-12-31T08:28:27",1,"SBD","out",7.07,"normal_tr"
"2017-12-31",2.69,7.07,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171226t123127871z","aksdwi","2017-12-31T08:28:42",1,"SBD","out",7.07,"normal_tr"
"2017-12-31",2.69,7.07,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-20171226t123127871z","allaz","2017-12-31T08:28:57",1,"SBD","out",7.07,"normal_tr"
"2018-01-03",6.51,9.91,"1.000 SBD","misrori","https://steemit.com/events/@misrori/uppcomming-events-in-cryptoworld-03-jan-2019","pushup","2018-01-03T08:02:21",1,"SBD","out",9.91,"normal_tr"
"2018-01-03",6.51,9.91,"1.000 SBD","misrori","https://steemit.com/events/@misrori/uppcomming-events-in-cryptoworld-03-jan-2019","boomerang","2018-01-03T08:02:42",1,"SBD","out",9.91,"normal_tr"
"2018-01-03",6.51,9.91,"0.090 SBD","fogel","Thank You for upvote DAILY FREE SBD GIVEAWAY, WEIGHT DISTRIBUTION #2 (December 27)","misrori","2018-01-03T15:35:39",0.09,"SBD","in",0.89,"normal_tr"
"2018-01-03",6.51,9.91,"2.000 SBD","misrori","https://steemit.com/events/@misrori/uppcomming-events-in-cryptoworld-03-jan-2019","buildawhale","2018-01-03T18:01:51",2,"SBD","out",19.82,"normal_tr"
"2018-01-03",6.51,9.91,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171229t102541097z","boomerang","2018-01-03T18:03:30",1,"SBD","out",9.91,"normal_tr"
"2018-01-03",6.51,9.91,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171229t102541097z","aksdwi","2018-01-03T18:03:57",1,"SBD","out",9.91,"normal_tr"
"2018-01-03",6.51,9.91,"1.000 SBD","misrori","https://steemit.com/bitcoin/@misrori/bitcoin-is-falling-check-out-the-price-action-with-my-app#@misrori/re-misrori-bitcoin-is-falling-check-out-the-price-action-with-my-app-20171229t102541097z","pushup","2018-01-03T18:04:24",1,"SBD","out",9.91,"normal_tr"
